a	zach.	rel_ety	jpol	jang	jniem	mat	hist	geog	biol	fiz	che	tech	info	plas	pO	wf
9877	wzorowe	5	3	4	3	3	3	3	3	3	5	4		5	4	5
9876	dobre	4	3	3	2	2	3	3	2	3	2	4		4	3	3
9873	wzorowe	6	4	5	5	5	3	4	4	4	5	6		6	4	
9871	dobre	5	4	5	6	4	4	4	3	4	4	5		5	5	4
9870	wzorowe	5	3	4	4	3	4	4	3	3	3	6		5	5	6
9867	dobre	4	4	4	3	3	4	4	3	4	4	4		5	3	5
9860	wzorowe	5	4	4	4	4	5	4	4	3	3	6		6	4	4
9859	dobre	4	3	3	4	3	4	3	3	4	4	5		5	4	5
9858	wzorowe	5	5	5	6	4	5	5	4	4	4	6		6	4	4
9856	wzorowe	6	5	5	5	4	5	5	4	5	5	5		6	5	4
9854	dobre	4	3	4	4	3	4	3	3	3	3	5		4	4	5
9852	wzorowe	5	5	5	5	4	5	4	4	4	5	5		6	4	3
9848	dobre	5	4	2	4	2	2	2	3	2	3	4		5	2	3
9845	wzorowe	5	5	5	5	5	5	5	4	5	5	6		6	4	4
9844	poprawne	3	3	3	2	3	3	3	3	3	2	4		4	2	4
9842	dobre	5	3	3	3	2	3	3	2	2	2	3		4	3	
9840	wzorowe	4	4	5	6	4	5	5	4	5	5	6		6	5	4
9836	dobre	5	3	4	3	4	3	4	4	4	4	4		4	2	4
9833	wzorowe	4	5	5	5	4	5	5	4	5	5	6		6	5	5
9832	dobre	5	3	2	3	3	2	3	2	2	3	3		4	4	
9831	wzorowe	4	4	4	3	3	4	5	3	4	4	5		5	4	
9830	wzorowe	5	4	5	5	4	5	5	5	4	4	6		6	5	
9829	wzorowe	4	4	4	4	4	5	4	3	5	5	5		6	4	4
9826	dobre	4	3	3	2	2	3	3	2	3	3	4		5	2	
9825	dobre	4	3	4	3	4	3	3	3	3	4	5		5	3	4
9824	wzorowe	4	3	5	3	3	5	3	4	4	4	5		5	4	4
9819	dobre	3	4	4	4	3	3	3	3	3	3	4		5	4	6
9818	wzorowe	5	5	5	5	4	5	3	4	4	4	5		5	4	4
9812	dobre	5	2	3	3	3	3	2	3	3	3	4		4	3	
9811	wzorowe	6	4	3	3	3	3	4	4	3	3	5		5	3	4
9810	wzorowe	5	4	3	4	3	4	4	4	4	4	4		5	4	6
9806	dobre	-	4	4	4	2	4	3	4	3	3	5		5	5	
9805	wzorowe	6	4	4	4	4	5	4	3	3	3	6		6	4	
9804	wzorowe	5	4	4	4	4	4	4	4	4	4	4		5	4	4
9803	poprawne	3	4	4	3	2	2	2	2	2	3					3
9802	wzorowe	5	5	5	6	5	5	5	4	5	5	6		5	5	5
9788	dobre	5	2	3	3	2	3	3	3	3	3		5		5	4
9779	dobre	3	2	4	4	3	3	4	3	3	3		3		5	4
9770	dobre	3	2	4	3	2	3	3	3	3	4		5		5	5
9754	dobre	4	4	4	4	3	3	3	3	3	4		5		5	
9751	wzorowe	5	4	4	5	4	4	5	5	3	4		5		5	
9749	dobre	6	3	4	3	2	3	3	3	3	4		4		5	3
9745	dobre	4	4	3	3	2	3	2	3	3	3		4		5	
9716	dobre	6	3	4	5	3	4	4	4	3	3		5		5	4
9714	wzorowe	6	5	4	4	4	4	4	5	3	4		5		5	6
9710	wzorowe	5	5	6	5	3	4	5	4	3	5		5		5	
9708	wzorowe	5	4	5	5	4	4	4	4	3	4		5		5	5
9705	dobre	5	3	5	4	4	4	4	4	3	3		5		5	
9699	dobre	5	3	4	4	4	3	4	4	3	3		5		5	5
9682	poprawne	4	2	3	3	3	3	2	4	3	3		3		5	4
9651	wzorowe	5	5	5	5	5	5	5	5	3	4		5		5	4
9649	dobre	4	4	5	4	3	3	4	4	3	3		5		5	3
9645	dobre	3	3	3	3	3	2	3	3	3	3		5		5	5
9644	dobre	-	2	2	2	2	2	2	3	3	2		4		5	3
9643	wzorowe	5	4	5	4	3	3	4	4	3	3		5		5	6
9621	dobre	4	3	4	4	3	3	2	3	3	3		5		5	4
9614	dobre	4	4	5	3	4	3	3	3	3	4		5		5	5
9611	dobre	3	3	4	3	2	2	2	4	3	2		5		5	3
9607	dobre	3	3	3	2	2	4	3	3	3	3		5		5	4
9605	dobre	5	3	4	4	3	2	3	3	3	3		4		5	4
9595	dobre	6	4	5	3	3	3	4	4	3	4		5		5	4
9593	poprawne	4	2	3	4	2	2	3	3	4	3		3		5	3
9575	dobre	4	4	4	4	3	3	4	3	2	3		4		5	4
9568	dobre	4	3	3	3	2	3	3	3	3	4		5		5	6
9567	dobre	4	4	4	2	2	3	3	3	3	2		5		5	4
9566	dobre	4	5	6	4	4	5	4	4	5	4		5		5	
9562	dobre	4	3	4	4	3	3	3	3	3	3		5		5	4
9551	dobre	-	3	3	2	2	3	3	3	2	2		5		5	3
9504	wzorowe	5	4	4	5	2	3	4	4	3	2	5		6	3	4
9494	wzorowe	4	4	6	5	3	4	4	4	3	4					4
9486	wzorowe	5	5	5	5	5	5	3	4	4	4					5
9483	poprawne	3	3	4	3	2	2	2	2	2	2					5
9481	dobre	4	3	3	4	4	2	2	4	3	4					4
9478	dobre	3	4	6	5	3	3	4	4	3	4					4
9473	dobre	5	4	5	5	4	3	4	4	3	4					4
9457	dobre	5	3	5	4	3	3	3	2	3	4					4
9437	dobre	5	4	4	4	2	4	3	2	3	3					4
9430	wzorowe	5	4	5	5	5	6	4	5	5	4					4
9421	wzorowe	5	4	5	5	4	5	4	5	4	5					4
9416	dobre	4	4	4	5	3	3	4	4	4	4					
9386	wzorowe	5	4	4	5	5	4	4	5	4	4					
9370	poprawne	3	4	3	4	2	2	3	2	2	2					3
9353	dobre	3	4	6	5	4	4	4	3	3	4					4
9343	poprawne	3	3	4	3	2	3	2	3	3	2					
9327	nieodpowiednie	-	3	3	3	2	2	3	2	3	2					
9311	wzorowe	5	5	5	5	5	6	5	5	5	5					
9299	nieodpowiednie	3	4	4	3	2	3	4	3	2	3					3
9291	dobre	3	3	4	4	4	3	3	3	3	3					4
9265	wzorowe	5	4	5	5	5	3	4	4	4	3					6
9257	dobre	-	4	4	4	4	4	3	4	4	4					5
9254	dobre	5	3	4	5	4	3	3	3	3	4					6
9248	poprawne	3	3	3	3	2	2	2	2	2	3					5
9241	dobre	4	4	4	5	4	4	3	4	3	3					4
9234	nieodpowiednie	3	3	4	5	3	3	3	3	2	2					4
9233	wzorowe	5	4	4	4	4	4	3	4	5	5					6
9231	poprawne	3	3	5	4	2	2	4	3	3	2					
9224	dobre	5	4	4	4	3	3	3	4	3	3					4
9217	wzorowe	6	4	5	5	5	5	4	5	5	4					4
9211	dobre	-	3	5	5	3	2	3	3	2	3					3
9202	wzorowe	5	4	5	5	5	4	3	3	4	4					4
9201	wzorowe	5	5	5	5	5	4	4	4	4	4					
